Date,Adj Close,Close,High,Low,Open,Volume
2009-01-02,412.25,412.25,415.0,400.0,403.5,72613.0
2009-01-05,411.25,411.25,415.0,404.0,405.0,62516.0
2009-01-06,427.5,427.5,428.25,413.0,413.0,92204.0
2009-01-07,416.5,416.5,421.0,413.25,417.0,127908.0
2009-01-08,406.75,406.75,418.5,405.75,407.0,108227.0
2009-01-09,410.75,410.75,418.0,407.75,411.0,103424.0
2009-01-12,380.75,380.75,389.5,380.75,385.0,126302.0
2009-01-13,362.5,362.5,379.25,362.0,371.75,77022.0
2009-01-14,366.5,366.5,369.25,358.75,363.0,148744.0
2009-01-15,365.25,365.25,368.5,360.0,364.0,96607.0
2009-01-16,391.0,391.0,392.5,373.0,373.0,91411.0
2009-01-20,383.5,383.5,402.0,376.5,398.0,105581.0
2009-01-21,390.25,390.25,391.25,378.0,382.0,148423.0
2009-01-22,387.5,387.5,389.0,378.75,387.25,116622.0
2009-01-23,390.5,390.5,400.5,384.0,384.0,88256.0
2009-01-26,393.75,393.75,402.0,392.0,400.0,94688.0
2009-01-27,377.5,377.5,387.75,377.0,384.25,87724.0
2009-01-28,384.5,384.5,386.0,373.0,373.0,107667.0
2009-01-29,381.75,381.75,383.0,378.5,379.0,88637.0
2009-01-30,379.0,379.0,385.25,378.5,379.5,84486.0
2009-02-02,370.5,370.5,373.0,363.5,372.0,93639.0
2009-02-03,361.75,361.75,366.0,356.0,365.0,119323.0
2009-02-04,358.25,358.25,369.0,356.0,365.0,115473.0
2009-02-05,371.25,371.25,372.0,358.5,360.0,129510.0
2009-02-06,377.25,377.25,380.5,371.5,375.0,119519.0
2009-02-09,377.5,377.5,383.0,376.5,377.5,112285.0
2009-02-10,376.75,376.75,379.5,368.5,379.0,105968.0
2009-02-11,368.5,368.5,376.0,368.0,372.0,143000.0
2009-02-12,366.25,366.25,377.25,366.0,368.5,104800.0
2009-02-13,363.25,363.25,369.0,363.0,365.5,153366.0
2009-02-17,349.25,349.25,358.0,346.5,356.0,81286.0
2009-02-18,349.25,349.25,352.0,346.5,346.5,112378.0
2009-02-19,353.25,353.25,356.0,352.0,354.0,129407.0
2009-02-20,350.25,350.25,351.5,342.0,350.0,121888.0
2009-02-23,351.75,351.75,357.0,349.75,356.0,124200.0
2009-02-24,354.25,354.25,354.5,345.75,348.5,101502.0
2009-02-25,363.75,363.75,368.5,351.25,354.5,95818.0
2009-02-26,362.0,362.0,371.5,357.75,366.0,104121.0
2009-02-27,350.75,350.75,358.5,349.0,353.5,83466.0
2009-03-02,343.5,343.5,345.20001220703125,338.0,345.0,49652.0
2009-03-03,343.5,343.5,346.75,341.0,345.5,30207.0
2009-03-04,355.25,355.25,357.0,350.0,350.0,20612.0
2009-03-05,349.25,349.25,351.75,347.0,350.0,15130.0
2009-03-06,352.75,352.75,355.0,351.5,353.0,13239.0
2009-03-09,357.25,357.25,361.0,357.0,359.0,9840.0
